dt,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
2013-12-31,0.3,0.3,0.01,0.01,0.01,0.3,0.01,0.01,0.04,0.01
2014-03-31,0.3,0.3,0.3,0.01,0.01,0.01,0.04,0.01,0.01,0.01
2014-06-30,0.01,0.3,0.01,0.01,0.3,0.01,0.01,0.01,0.04,0.3
2014-09-30,0.01,0.3,0.01,0.01,0.3,0.3,0.01,0.04,0.01,0.01
2014-12-31,0.3,0.3,0.01,0.01,0.3,0.01,0.01,0.04,0.01,0.01
2015-03-31,0.3,0.3,0.01,0.04,0.3,0.01,0.01,0.01,0.01,0.01
2015-06-30,0.01,0.01,0.01,0.3,0.01,0.3,0.01,0.04,0.3,0.01
2015-09-30,0.3,0.01,0.3,0.01,0.04,0.01,0.01,0.01,0.3,0.01
2015-12-31,0.3,0.3,0.3,0.01,0.04,0.01,0.01,0.01,0.01,0.01
2016-03-31,0.3,0.3,0.01,0.01,0.01,0.01,0.04,0.01,0.3,0.01
2016-06-30,0.01,0.3,0.3,0.3,0.01,0.01,0.01,0.01,0.01,0.04
2016-09-30,0.01,0.024,0.3,0.3,0.01,0.01,0.3,0.026,0.01,0.01
2016-12-30,0.01,0.3,0.01,0.049,0.3,0.01,0.01,0.291,0.01,0.01
2017-03-31,0.3,0.01,0.3,0.01,0.3,0.01,0.04,0.01,0.01,0.01
2017-06-30,0.3,0.04,0.01,0.3,0.01,0.01,0.01,0.01,0.3,0.01
2017-09-29,0.01,0.3,0.3,0.3,0.01,0.01,0.01,0.01,0.04,0.01
2017-12-29,0.3,0.01,0.3,0.01,0.01,0.04,0.3,0.01,0.01,0.01
2018-03-30,0.3,0.3,0.01,0.01,0.01,0.3,0.01,0.04,0.01,0.01
2018-06-29,0.3,0.01,0.01,0.01,0.01,0.3,0.3,0.01,0.01,0.04
2018-09-28,0.3,0.3,0.3,0.04,0.01,0.01,0.01,0.01,0.01,0.01
2018-12-31,0.01,0.01,0.01,0.3,0.3,0.01,0.3,0.01,0.04,0.01
